CR004417132,NP,SME_NP_001,0048638424,MS13869,,MS_ICT Infrastucture,Infrastructure Initial,SME Solution,DATA," 921,944 "," 40,084.50 "
CR004395335,NWPE,SME_NWPE_002,0048355576,SMEDS_1694_2021 MS13385,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 130,829 "," 5,688.23 "
CR004417897,NWPE,SME_NWPE_001,0048696445,SMEDS/1815/2021 A MS14039,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 925,612 "," 40,244.00 "
CR004395335,NWPE,SME_NWPE_002,0048309832,SMEDS_1701_2021 MS13340,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 130,829 "," 5,688.23 "
CR004417880,NWPE,SME_NWPE_002,0048918664,SMEDS_2714_2021 MS14336,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 924,715 "," 40,205.00 "
CR004434900,NWPE,SME_NWPE_002,0048918269,PABX/0057/2022/OTH/SCE/CH MS14335,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 38,220 ",
CR004418585,NWPW,SME_NWPW_001,0048661527,SMEDS_2521_2021 MS14709,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 850,414 "," 36,974.50 "
CR004178278,NWPW,SME_NWPW_001,0049319341,SMEDS_0812_2022 MS14626,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 60,200 "," 8,600.00 "
CR004429257,NWPW,SME_NWPW_001,0048829717,Supply and Installation of Wi -Fi networking solution. MS14266,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 925,520 "," 40,240.00 "
CR004429134,NWPW,SME_NWPW_001,0048827971,SMEDS_2605D_2021 MS14262,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 925,152 "," 40,224.00 "
CR004436697,NWPW,SALES_SME_NWPW_002,0048945537,MS14403,,WiFi Networking,Infrastructure Initial,SME Solution,DATA," 925,175.00 "," 40,225.00 "
CR003540771,SAB,SME_SAB_001,0048863207,PABX/0114/2022/OTH/SLT/CH MS14663,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 45,120 ",
CR000244660,SAB,SME_SAB_001,0049233851,PABX/0291/2021 MS14579,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 12,220 ",
CR004428121,SAB,SME_SAB_001,0048812378,SMEDS/1596/0575/2021 MS14236,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 918,402 "," 39,930.50 "
CR000244507,SAB,SME_SAB_001,0047920353,PABX/0146/2022 MS14695,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 12,720 ",
CR003118263,SAB,SME_SAB_001,0043681723,PABX/0063/2021 MS12893,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 167,168 ",
CR003118263,SAB,SME_SAB_001,0043681723,PABX/0060/2022 MS14511,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 43,940 ",
CR004456897,SAB,SME_SAB_001,0049246559,SMEDS/0353/2022 MS14570,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 129,480 "," 9,960.00 "
CR000592444,SPE,SME_SPE_004,0049332453,SMEDS_069-2022 MS14640,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 1,215,540 "," 101,295.00 "
