2023-04-12 10:29:08,380-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '94113290890', 'offeringList': [{'offeringId': '1940129273', 'purchaseSeq': 'null'}]}
2023-04-12 10:40:44,586-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '94113290890', 'offeringList': [{'offeringId': '1940129273', 'purchaseSeq': 'null'}]}
2023-04-12 13:38:20,138-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-12 13:38:36,223-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-12 13:38:50,605-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-12 13:39:02,630-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-12 13:39:04,670-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-12 13:39:04,999-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-12 13:39:14,156-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-12 13:39:14,709-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
